"movimiento_id","fecha_iso","descripcion","categoria","tipo","importe"
"MOV-DEMO-001","2026-06-02","Ingreso por servicio Alfa","ventas","ingreso","1500.00"
"MOV-DEMO-002","2026-06-03","Cuota de espacio de trabajo","alquiler","gasto","-120.00"
"MOV-DEMO-003","2026-06-04","Suscripción de software","software","gasto","-49.90"
"MOV-DEMO-004","2026-06-05","Suministro eléctrico","suministros","gasto","-89.30"
"MOV-DEMO-005","2026-06-05","Ingreso por servicio Beta","ventas","ingreso","870.00"
"MOV-DEMO-006","2026-06-06","Comisión de cuenta","comisiones","gasto","-12.50"
"MOV-DEMO-007","2026-06-06","Billete de transporte","transporte","gasto","-63.20"
"MOV-DEMO-008","2026-06-07","Pago tributario de ejemplo","impuestos","gasto","-250.00"
"MOV-DEMO-009","2026-06-08","Ingreso por servicio Gamma","ventas","ingreso","1200.00"
"MOV-DEMO-010","2026-06-09","Material de oficina","suministros","gasto","-75.50"
"MOV-DEMO-011","2026-06-10","Herramienta de diseño","software","gasto","-32.00"
"MOV-DEMO-012","2026-06-11","Desplazamiento urbano","transporte","gasto","-18.20"
"MOV-DEMO-013","2026-06-12","Ingreso por mantenimiento","ventas","ingreso","640.00"
"MOV-DEMO-014","2026-06-15","Suministro de comunicaciones","suministros","gasto","-99.99"
"MOV-DEMO-015","2026-06-16","Alquiler de equipo","alquiler","gasto","-450.00"
"MOV-DEMO-016","2026-06-17","Comisión por transferencia","comisiones","gasto","-15.00"
"MOV-DEMO-017","2026-06-18","Ingreso por formación","ventas","ingreso","310.00"
"MOV-DEMO-018","2026-06-22","Licencia de productividad","software","gasto","-45.00"
"MOV-DEMO-019","2026-06-25","Pago administrativo de ejemplo","impuestos","gasto","-110.00"
"MOV-DEMO-020","2026-06-29","Transferencia interna recibida","transferencias","ingreso","90.00"
